lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
E01002918,29,30,55,26,25,87.8%,83.3%,"41,326","41,101"
E01002919,64,56,90,26,35,40.9%,62.2%,"39,874","40,552"
E01002920,10,10,18,7,7,74.3%,74.1%,"41,069","40,926"
E01002921,90,89,108,17,19,19.3%,21.3%,"38,206","37,913"
E01002922,40,43,59,19,16,45.7%,38.3%,"40,132","39,415"
E01002923,56,56,76,21,20,36.7%,35.7%,"39,677","39,269"
E01002924,10,10,18,7,7,73.8%,73.7%,"41,062","40,919"
E01002925,82,70,94,12,24,14.5%,34.3%,"37,672","39,151"
E01002926,10,10,18,7,7,74.3%,74.1%,"41,071","40,926"
E01002927,15,15,26,11,11,75.6%,75.6%,"41,096","40,956"
E01002928,37,37,75,38,38,102.1%,102.1%,"41,466","41,336"
E01002929,20,20,44,23,23,115.0%,115.0%,"41,493","41,408"
E01002930,57,57,111,55,55,96.4%,96.3%,"41,424","41,281"
E01002931,57,57,111,55,55,96.3%,96.3%,"41,421","41,280"
E01002932,25,25,53,28,28,112.6%,112.6%,"41,487","41,394"
E01002933,208,211,276,68,65,32.7%,31.0%,"39,401","38,892"
E01002934,28,28,51,23,23,81.6%,81.5%,"41,225","41,063"
E01002935,101,81,102,1,21,0.7%,26.3%,"35,599","38,422"
E01002937,270,217,278,8,61,2.8%,28.2%,"35,969","38,638"
E01002938,61,59,45,-16,-14,-26.3%,-23.3%,"27,623","27,119"
E01002939,41,36,40,-1,4,-3.5%,10.8%,"34,596","36,494"
E01002940,41,36,40,-1,4,-3.5%,10.5%,"34,596","36,444"
E01002941,41,36,40,-2,4,-3.8%,10.4%,"34,536","36,406"
E01002942,41,36,40,-1,4,-3.5%,10.7%,"34,605","36,479"
E01002943,41,36,40,-2,4,-3.7%,10.3%,"34,541","36,385"
E01002944,26,22,33,7,11,26.7%,51.7%,"38,868","40,175"
E01002945,15,12,16,0,4,1.2%,33.9%,"35,695","39,112"
E01002946,16,12,16,0,4,0.0%,32.8%,"35,411","39,026"
E01002947,22,19,19,-3,0,-12.7%,1.5%,"32,168","34,830"
E01002948,24,25,22,-1,-2,-5.7%,-8.8%,"34,054","32,159"
E01002949,24,26,22,-1,-4,-6.1%,-13.8%,"33,954","30,610"
E01002950,22,21,19,-3,-2,-12.9%,-10.2%,"32,128","31,716"
E01002951,100,79,99,-1,20,-1.0%,25.3%,"35,204","38,327"
E01002952,65,52,59,-6,7,-9.5%,14.3%,"33,076","36,987"
E01002953,54,49,62,8,13,14.7%,27.5%,"37,681","38,559"
E01002954,101,81,102,1,21,0.7%,26.3%,"35,599","38,426"
E01002955,57,36,42,-15,6,-25.5%,16.2%,"27,972","37,278"
E01002956,57,36,42,-14,6,-25.5%,15.9%,"27,972","37,239"
E01002957,48,28,26,-22,-1,-45.6%,-4.9%,"18,668","33,216"
E01002958,28,28,45,18,18,63.6%,63.4%,"40,808","40,585"
E01002959,27,26,30,4,4,14.7%,14.9%,"37,689","37,087"
E01002960,81,68,102,21,34,25.6%,50.4%,"38,761","40,106"
E01002961,13,13,17,4,4,33.1%,32.5%,"39,426","39,009"
E01002962,28,28,44,16,16,59.5%,59.0%,"40,669","40,436"
E01002963,21,20,36,15,15,75.0%,75.2%,"41,081","40,950"
E01002964,264,202,271,7,69,2.6%,34.1%,"35,935","39,125"
E01002965,143,121,144,1,23,0.8%,18.9%,"35,614","37,634"
E01002966,94,89,108,14,19,15.1%,21.1%,"37,734","37,882"
E01002967,99,95,111,12,16,12.3%,17.2%,"37,392","37,414"
E01002968,287,233,307,19,74,6.7%,31.8%,"36,614","38,955"
E01002969,121,102,153,32,51,26.4%,50.2%,"38,832","40,092"
E01002970,66,61,93,27,32,41.0%,53.0%,"39,877","40,212"
E01002971,132,101,168,37,67,27.8%,66.1%,"38,958","40,674"
E01002972,260,217,278,18,61,6.8%,28.1%,"36,627","38,624"
E01002973,28,28,44,17,16,59.7%,59.2%,"40,678","40,447"
E01002974,117,94,134,18,40,15.2%,43.0%,"37,752","39,710"
E01002975,21,21,39,18,18,88.1%,87.8%,"41,331","41,172"
E01002976,36,34,46,11,12,30.4%,35.8%,"39,185","39,273"
E01002977,25,25,41,16,15,62.2%,61.6%,"40,763","40,523"
E01002978,38,34,46,8,12,22.2%,35.6%,"38,470","39,254"
E01002979,18,18,41,23,23,130.2%,130.2%,"41,527","41,464"
E01002980,31,36,59,29,24,92.9%,67.0%,"41,387","40,710"
E01002981,31,31,55,24,24,77.8%,76.8%,"41,156","40,976"
E01002982,31,31,55,24,24,77.9%,76.8%,"41,157","40,977"
E01002983,22,22,38,16,16,75.0%,75.0%,"41,086","40,943"
E01002984,57,57,111,55,55,96.8%,96.2%,"41,434","41,278"
E01002985,57,57,111,55,55,96.6%,96.4%,"41,430","41,284"
E01002986,17,17,52,34,34,200.5%,200.5%,"41,633","41,621"
E01002987,89,93,111,22,18,25.0%,18.9%,"38,698","37,624"
E01002988,83,55,55,-28,0,-33.8%,-0.3%,"24,375","34,410"
E01002989,82,79,92,10,14,12.8%,17.6%,"37,455","37,468"
E01002990,90,95,111,21,16,23.3%,17.1%,"38,561","37,398"
E01002991,116,82,108,-9,26,-7.3%,31.1%,"33,662","38,900"
E01002992,60,50,78,18,28,29.2%,55.1%,"39,074","40,293"
E01002993,49,49,52,2,3,4.9%,5.7%,"36,333","35,643"
E01002994,36,31,38,2,8,6.8%,25.6%,"36,619","38,354"
E01002995,50,62,76,26,14,51.5%,22.9%,"40,371","38,076"
E01002996,91,79,110,19,31,21.3%,39.1%,"38,392","39,487"
E01002997,47,60,76,30,17,63.1%,27.6%,"40,793","38,574"
E01002998,73,56,83,9,26,12.9%,46.4%,"37,471","39,896"
E01002999,90,89,108,18,19,19.5%,21.3%,"38,220","37,908"
E01003000,17,17,36,19,19,106.6%,106.6%,"41,472","41,362"
E01003001,64,56,90,26,35,40.9%,62.4%,"39,872","40,559"
E01003002,37,32,40,2,8,6.5%,23.9%,"36,579","38,183"
E01003003,64,56,90,26,35,40.6%,61.8%,"39,856","40,542"
E01003004,47,42,57,10,15,20.6%,35.7%,"38,326","39,271"
E01003005,40,35,40,0,5,-0.8%,14.3%,"35,260","36,997"
E01003006,28,28,51,23,23,80.4%,82.4%,"41,204","41,083"
E01003007,28,28,51,23,23,80.4%,82.4%,"41,205","41,083"
E01003008,28,28,51,23,23,80.2%,81.9%,"41,201","41,068"
E01003009,14,14,22,8,8,59.8%,59.9%,"40,682","40,468"
E01003010,28,28,51,23,23,80.5%,81.8%,"41,206","41,067"
E01003011,16,17,30,14,14,89.8%,81.5%,"41,350","41,062"
E01003013,379,385,358,-21,-27,-5.6%,-7.0%,"34,086","32,677"
E01003014,319,313,295,-24,-18,-7.5%,-5.7%,"33,602","33,038"
E01003015,176,172,198,22,26,12.4%,15.0%,"37,406","37,102"
E01003016,321,336,283,-38,-53,-11.8%,-15.8%,"32,434","29,933"
E01003017,301,321,283,-18,-38,-6.0%,-12.0%,"33,973","31,190"
E01003018,231,238,259,28,21,12.2%,8.9%,"37,370","36,180"
E01003019,180,183,190,10,7,5.8%,3.8%,"36,486","35,291"
E01003020,236,243,269,33,26,13.8%,10.7%,"37,586","36,476"
E01003021,180,183,190,10,7,5.8%,3.8%,"36,488","35,282"
E01003022,168,171,177,9,5,5.5%,3.2%,"36,442","35,164"
E01003023,175,183,196,21,14,12.1%,7.4%,"37,364","35,927"
E01003024,165,169,175,9,6,5.6%,3.4%,"36,455","35,205"
E01003025,190,195,203,13,8,7.0%,3.9%,"36,652","35,311"
E01003026,102,102,105,3,2,3.1%,2.4%,"36,012","35,024"
E01003027,81,84,87,7,3,8.1%,3.6%,"36,797","35,245"
E01003028,62,66,58,-3,-7,-5.5%,-10.9%,"34,120","31,510"
E01003029,68,68,72,3,3,5.1%,5.1%,"36,372","35,509"
E01003030,47,47,50,3,2,6.8%,5.2%,"36,623","35,538"
E01003031,53,54,58,5,5,10.1%,8.6%,"37,123","36,137"
E01003032,113,120,125,12,5,10.9%,4.6%,"37,230","35,432"
E01003033,123,130,135,12,5,10.1%,4.1%,"37,111","35,340"
E01003034,45,45,50,5,5,11.7%,11.6%,"37,332","36,629"
E01003035,119,123,138,19,16,16.3%,12.8%,"37,867","36,774"
E01003036,142,146,157,15,11,10.7%,7.9%,"37,192","36,004"
E01003037,92,93,101,9,8,9.9%,8.4%,"37,079","36,094"
E01003038,137,136,155,18,19,13.2%,14.0%,"37,516","36,955"
E01003039,155,161,169,15,8,9.4%,4.8%,"37,015","35,468"
E01003040,148,147,167,19,20,13.0%,13.7%,"37,488","36,898"
E01003041,130,137,148,18,11,13.8%,8.0%,"37,588","36,027"
E01003042,148,147,167,19,20,13.0%,13.7%,"37,488","36,898"
E01003043,219,213,243,24,30,10.8%,14.1%,"37,215","36,969"
E01003044,125,127,124,-1,-3,-0.9%,-2.1%,"35,232","33,954"
E01003045,207,202,204,-3,2,-1.4%,1.1%,"35,109","34,742"
E01003046,128,127,122,-6,-5,-4.7%,-4.0%,"34,315","33,443"
E01003047,234,228,256,22,28,9.3%,12.2%,"36,988","36,709"
E01003048,128,127,122,-6,-5,-4.6%,-3.9%,"34,334","33,465"
E01003049,207,202,204,-3,2,-1.4%,1.0%,"35,091","34,728"
E01003050,234,228,256,22,28,9.3%,12.4%,"36,995","36,731"
E01003051,62,63,68,6,5,9.2%,8.3%,"36,965","36,077"
E01003052,234,228,256,22,28,9.2%,12.3%,"36,979","36,717"
E01003053,234,229,256,22,28,9.3%,12.1%,"36,998","36,695"
E01003054,124,127,136,13,9,10.3%,7.0%,"37,144","35,855"
E01003055,234,228,256,22,28,9.3%,12.3%,"36,991","36,714"
E01003056,127,128,133,6,5,4.7%,4.1%,"36,292","35,339"
E01003057,127,127,133,6,5,4.8%,4.2%,"36,311","35,364"
E01003058,231,230,241,10,12,4.5%,5.0%,"36,269","35,504"
E01003059,207,202,204,-3,2,-1.5%,1.0%,"35,073","34,716"
E01003060,200,195,191,-8,-4,-4.2%,-1.8%,"34,431","34,017"
E01003061,234,229,256,22,28,9.4%,12.2%,"37,000","36,697"
E01003062,135,134,177,43,43,31.8%,32.4%,"39,318","38,997"
E01003063,43,41,55,12,13,27.2%,32.1%,"38,908","38,982"
E01003064,21,21,20,-1,-1,-3.9%,-6.9%,"34,504","32,703"
E01003065,32,31,31,-1,0,-4.6%,-0.3%,"34,339","34,398"
E01003066,77,77,73,-4,-4,-5.3%,-5.3%,"34,158","33,138"
E01003067,30,31,32,2,2,7.8%,5.5%,"36,769","35,591"
E01003068,43,42,49,5,7,12.2%,15.8%,"37,377","37,216"
E01003069,45,44,55,9,10,20.9%,23.8%,"38,353","38,180"
E01003070,55,51,60,5,9,9.1%,18.4%,"36,951","37,568"
E01003071,114,119,118,4,-1,3.7%,-1.2%,"36,137","34,195"
E01003072,69,70,69,0,-1,-0.2%,-2.0%,"35,365","33,977"
E01003073,94,95,92,-3,-4,-2.9%,-3.8%,"34,753","33,490"
E01003074,114,119,118,4,-2,3.7%,-1.3%,"36,124","34,164"
E01003075,170,172,188,18,16,10.7%,9.2%,"37,192","36,222"
E01003076,141,142,157,16,15,11.2%,10.4%,"37,267","36,411"
E01003077,55,56,60,4,4,7.4%,6.8%,"36,702","35,816"
E01003078,94,95,92,-3,-4,-2.9%,-3.9%,"34,743","33,482"
E01003079,102,101,106,4,5,4.1%,4.8%,"36,201","35,474"
E01003080,88,88,90,3,3,3.1%,3.0%,"36,015","35,122"
E01003081,88,88,90,3,3,3.0%,2.9%,"35,994","35,099"
E01003082,82,82,93,10,11,12.6%,12.8%,"37,422","36,777"
E01003083,60,60,63,3,3,5.7%,5.4%,"36,466","35,575"
E01003084,88,88,90,3,3,3.0%,3.0%,"36,002","35,119"
E01003085,70,70,81,11,11,15.2%,15.5%,"37,748","37,181"
E01003086,56,57,65,8,7,15.0%,13.0%,"37,728","36,806"
E01003087,44,45,45,0,0,0.8%,-0.8%,"35,620","34,296"
E01003088,99,99,102,3,3,2.9%,3.3%,"35,978","35,184"
E01003089,57,58,66,8,8,14.6%,13.4%,"37,679","36,868"
E01003090,67,67,68,0,1,0.5%,1.1%,"35,534","34,751"
E01003091,49,49,57,8,8,16.4%,16.2%,"37,876","37,284"
E01003092,110,110,112,2,2,2.1%,2.1%,"35,837","34,969"
E01003093,112,111,101,-11,-10,-9.7%,-9.1%,"33,048","32,072"
E01003094,99,107,101,2,-6,2.0%,-5.3%,"35,817","33,141"
E01003095,107,108,112,4,4,4.0%,3.3%,"36,191","35,189"
E01003096,211,206,201,-10,-5,-4.7%,-2.6%,"34,310","33,825"
E01003097,102,118,140,38,23,37.0%,19.2%,"39,694","37,684"
E01003098,167,164,151,-17,-14,-10.0%,-8.3%,"32,952","32,317"
E01003099,150,152,141,-9,-11,-6.3%,-7.0%,"33,902","32,667"
E01003100,138,139,126,-12,-13,-8.7%,-9.5%,"33,294","31,910"
E01003101,156,144,143,-12,-1,-7.9%,-0.4%,"33,509","34,366"
E01003102,144,155,178,34,23,23.4%,14.7%,"38,569","37,046"
E01003104,152,180,179,27,-1,17.6%,-0.4%,"38,014","34,372"
E01003105,109,112,113,5,1,4.2%,1.1%,"36,223","34,739"
E01003106,107,114,104,-3,-10,-2.3%,-8.8%,"34,888","32,166"
E01003107,156,144,143,-12,-1,-7.8%,-0.4%,"33,520","34,378"
E01003108,258,274,258,0,-16,0.1%,-5.9%,"35,437","32,988"
E01003109,189,195,217,28,22,14.8%,11.1%,"37,694","36,556"
E01003110,416,434,427,11,-8,2.6%,-1.8%,"35,931","34,033"
E01003111,122,117,119,-4,2,-2.9%,1.4%,"34,745","34,808"
E01003112,121,120,132,10,12,8.6%,10.1%,"36,871","36,351"
E01003113,171,174,204,33,30,19.1%,17.2%,"38,187","37,417"
E01003114,137,138,174,37,36,27.3%,26.4%,"38,925","38,435"
E01003115,105,106,137,32,31,30.2%,28.9%,"39,171","38,706"
E01003116,168,169,180,12,10,7.3%,6.2%,"36,691","35,718"
E01003117,168,169,180,12,10,7.3%,6.2%,"36,687","35,720"
E01003118,171,173,184,13,11,7.7%,6.4%,"36,750","35,753"
E01003119,167,169,191,24,22,14.3%,12.8%,"37,646","36,780"
E01003120,180,182,204,24,21,13.2%,11.6%,"37,510","36,631"
E01003121,79,82,90,11,8,14.0%,9.8%,"37,617","36,310"
E01003122,73,74,90,17,17,23.5%,22.8%,"38,579","38,060"
E01003123,123,132,137,13,5,10.9%,3.8%,"37,227","35,295"
E01003124,123,132,136,13,5,10.8%,3.8%,"37,217","35,279"
E01003125,168,162,155,-12,-7,-7.4%,-4.3%,"33,648","33,387"
E01003126,123,132,136,13,5,10.8%,3.8%,"37,215","35,285"
E01003127,175,170,164,-11,-6,-6.3%,-3.6%,"33,890","33,555"
E01003128,130,139,145,15,6,11.2%,4.3%,"37,260","35,373"
E01003129,95,107,115,19,7,20.4%,6.7%,"38,312","35,788"
E01003130,185,184,197,13,13,6.9%,7.1%,"36,641","35,868"
E01003131,185,189,197,13,9,6.9%,4.7%,"36,633","35,451"
E01003132,202,204,221,19,16,9.2%,8.1%,"36,979","36,039"
E01003133,95,94,96,0,1,0.3%,1.1%,"35,472","34,755"
E01003134,77,77,81,5,4,6.4%,5.4%,"36,568","35,585"
E01003135,185,189,190,6,2,3.1%,1.0%,"36,025","34,725"
E01003136,195,199,221,26,22,13.2%,11.0%,"37,505","36,525"
E01003137,189,192,216,27,23,14.3%,12.0%,"37,643","36,677"
E01003138,145,147,166,21,19,14.7%,13.2%,"37,691","36,833"
E01003139,18,18,29,11,11,58.2%,58.2%,"40,622","40,413"
E01003140,71,73,81,10,8,14.5%,10.5%,"37,667","36,441"
E01003141,53,55,70,16,14,30.9%,26.1%,"39,241","38,402"
E01003142,32,32,48,15,15,47.5%,47.5%,"40,219","39,966"
E01003143,68,62,127,59,64,86.5%,103.0%,"41,313","41,347"
E01003144,91,94,118,27,25,29.7%,26.1%,"39,124","38,413"
E01003145,80,83,109,28,26,35.1%,30.9%,"39,571","38,882"
E01003146,50,50,62,12,12,24.7%,23.8%,"38,682","38,176"
E01003147,71,73,97,26,24,37.0%,32.3%,"39,689","38,993"
E01003148,131,133,196,65,62,49.3%,46.7%,"40,289","39,917"
E01003149,26,26,26,0,0,0.6%,0.4%,"35,565","34,581"
E01003150,156,159,180,25,22,15.7%,13.7%,"37,803","36,911"
E01003151,167,169,180,12,11,7.3%,6.3%,"36,694","35,726"
E01003152,22,22,24,2,2,10.7%,10.7%,"37,194","36,473"
E01003153,162,164,174,12,10,7.5%,6.4%,"36,713","35,738"
E01003154,16,16,24,8,8,46.6%,46.2%,"40,164","39,885"
E01003155,182,184,197,15,13,8.4%,7.2%,"36,851","35,890"
E01003156,66,67,69,3,3,4.9%,4.1%,"36,325","35,331"
E01003157,38,38,48,10,10,26.0%,26.0%,"38,787","38,393"
E01003158,9,9,17,9,8,99.8%,89.4%,"41,454","41,204"
E01003159,122,124,128,6,4,5.2%,3.3%,"36,377","35,184"
E01003160,73,74,84,11,11,15.3%,14.5%,"37,760","37,015"
E01003161,50,48,51,2,3,3.0%,6.4%,"35,998","35,747"
E01003162,175,179,202,26,22,15.0%,12.4%,"37,721","36,727"
E01003163,73,73,84,11,11,15.7%,14.8%,"37,797","37,066"
E01003164,95,94,93,-2,-2,-2.5%,-1.7%,"34,847","34,047"
E01003165,34,35,35,1,0,3.4%,-0.5%,"36,086","34,359"
E01003166,99,98,96,-2,-2,-2.4%,-1.6%,"34,876","34,078"
E01003167,103,106,99,-4,-7,-3.9%,-6.4%,"34,525","32,832"
E01003168,71,73,68,-3,-6,-4.1%,-7.6%,"34,455","32,535"
E01003169,93,92,90,-3,-2,-2.9%,-2.0%,"34,745","33,990"
E01003170,71,73,68,-3,-6,-4.1%,-7.7%,"34,450","32,507"
E01003171,146,148,158,12,9,8.0%,6.4%,"36,792","35,735"
E01003172,87,87,82,-6,-5,-6.4%,-5.4%,"33,882","33,120"
E01003173,164,155,165,1,10,0.4%,6.2%,"35,505","35,718"
E01003174,93,92,90,-3,-2,-2.8%,-1.9%,"34,792","34,004"
E01003175,46,46,48,2,2,3.5%,4.3%,"36,103","35,387"
E01003176,215,208,238,24,30,11.2%,14.5%,"37,255","37,017"
E01003177,188,189,198,9,9,5.0%,4.7%,"36,353","35,459"
E01003178,180,181,189,9,8,5.0%,4.3%,"36,349","35,373"
E01003179,180,181,189,9,8,4.9%,4.2%,"36,341","35,367"
E01003180,47,50,61,15,11,31.2%,23.0%,"39,254","38,084"
E01003181,141,143,147,5,4,3.6%,2.7%,"36,115","35,083"
E01003182,65,67,50,-15,-17,-23.6%,-25.5%,"28,678","26,171"
E01003183,145,147,147,1,0,0.8%,0.0%,"35,624","34,519"
E01003184,141,143,146,5,4,3.6%,2.7%,"36,109","35,078"
E01003185,134,126,129,-5,3,-4.0%,2.5%,"34,496","35,044"
E01003186,168,162,151,-17,-11,-10.0%,-7.0%,"32,940","32,670"
E01003187,119,121,122,3,1,2.4%,0.5%,"35,895","34,603"
E01003188,80,79,75,-4,-4,-5.5%,-4.5%,"34,113","33,313"
E01003189,50,52,85,35,33,69.3%,64.6%,"40,957","40,634"
E01003190,48,47,63,15,16,30.6%,33.3%,"39,219","39,062"
E01003191,19,19,38,19,19,97.9%,97.8%,"41,442","41,296"
E01003192,24,24,48,24,24,99.2%,98.7%,"41,447","41,304"
E01003193,56,56,78,22,22,38.5%,40.4%,"39,757","39,582"
E01003194,96,100,135,39,35,40.6%,35.1%,"39,852","39,222"
E01003195,62,61,91,29,30,47.2%,49.1%,"40,204","40,046"
E01003196,73,77,97,24,20,33.3%,25.9%,"39,453","38,377"
E01003197,42,43,52,10,9,22.6%,21.2%,"38,505","37,896"
E01003198,102,97,166,64,69,63.0%,70.7%,"40,788","40,820"
E01003199,176,179,136,-40,-43,-22.5%,-23.9%,"29,111","26,898"
E01003200,87,82,116,29,34,33.8%,41.0%,"39,483","39,605"
E01003201,230,238,324,94,86,40.9%,36.1%,"39,872","39,290"
E01003202,88,81,145,57,64,65.4%,79.5%,"40,858","41,036"
E01003203,92,89,154,62,65,67.6%,73.6%,"40,913","40,911"
E01003204,53,55,55,2,-1,3.4%,-1.2%,"36,074","34,191"
E01003205,73,76,129,56,53,75.9%,69.9%,"41,109","40,792"
E01003206,222,238,324,102,86,45.9%,35.9%,"40,137","39,277"
E01003207,130,137,169,39,33,30.2%,23.8%,"39,170","38,180"
E01003209,135,142,176,41,34,30.2%,24.2%,"39,176","38,216"
E01003210,94,96,143,49,48,52.1%,49.9%,"40,392","40,074"
E01003211,81,82,79,-2,-4,-2.7%,-4.6%,"34,812","33,283"
E01003212,94,96,112,18,16,18.7%,16.8%,"38,142","37,374"
E01003213,87,88,102,16,14,18.1%,16.3%,"38,079","37,292"
E01003214,44,44,47,3,3,6.2%,6.4%,"36,553","35,745"
E01003215,148,153,177,29,23,19.5%,15.2%,"38,221","37,131"
E01003216,115,116,150,35,35,30.6%,29.9%,"39,213","38,793"
E01003217,45,45,60,15,14,33.0%,31.5%,"39,420","38,937"
E01003218,34,35,49,15,15,44.8%,42.6%,"40,086","39,695"
E01003219,21,22,30,9,8,40.2%,38.4%,"39,826","39,423"
E01003220,49,49,63,14,14,29.4%,28.3%,"39,087","38,645"
E01003221,107,112,146,39,34,36.7%,30.6%,"39,673","38,862"
E01003222,34,35,49,15,15,44.8%,42.6%,"40,086","39,695"
E01003223,70,72,84,14,12,20.3%,17.1%,"38,303","37,405"
E01003224,45,45,60,15,14,33.0%,31.5%,"39,419","38,934"
E01003225,52,52,56,5,4,8.9%,7.9%,"36,924","36,017"
E01003226,53,53,56,4,4,6.7%,6.7%,"36,611","35,803"
E01003227,67,67,66,-1,-1,-2.2%,-2.2%,"34,925","33,931"
E01003228,63,64,70,6,6,9.9%,8.7%,"37,083","36,148"
E01003229,57,54,59,2,5,3.1%,8.5%,"36,005","36,116"
E01003230,67,65,64,-2,-1,-3.6%,-1.6%,"34,565","34,093"
E01003231,69,69,70,0,0,0.5%,0.4%,"35,531","34,592"
E01003232,66,66,68,2,2,2.6%,2.7%,"35,929","35,070"
E01003233,52,52,57,5,4,9.1%,8.2%,"36,954","36,068"
E01003235,41,42,66,25,23,61.6%,55.0%,"40,738","40,291"
E01003236,62,66,83,21,17,33.1%,26.6%,"39,426","38,456"
E01003237,57,58,73,16,16,28.4%,27.2%,"39,013","38,535"
E01003238,43,44,54,11,10,25.4%,23.9%,"38,747","38,189"
E01003239,34,34,51,17,17,48.5%,48.4%,"40,265","40,017"
E01003240,42,44,66,24,22,57.5%,50.7%,"40,589","40,129"
E01003241,50,53,85,35,32,69.2%,60.6%,"40,956","40,489"
E01003243,50,53,85,34,31,68.6%,59.2%,"40,941","40,446"
E01003244,34,34,30,-4,-4,-11.3%,-11.2%,"32,551","31,449"
E01003245,78,76,74,-3,-1,-4.1%,-1.8%,"34,450","34,028"
E01003246,38,41,36,-3,-5,-6.5%,-12.4%,"33,841","31,061"
E01003247,54,53,50,-3,-3,-6.2%,-6.1%,"33,912","32,933"
E01003248,38,41,36,-3,-5,-6.5%,-12.3%,"33,848","31,098"
E01003249,68,68,64,-4,-4,-6.1%,-6.4%,"33,944","32,857"
E01003250,38,41,36,-3,-5,-6.8%,-12.4%,"33,789","31,050"
E01003251,31,33,30,-1,-4,-3.2%,-10.5%,"34,679","31,643"
E01003252,38,41,36,-3,-5,-6.6%,-12.4%,"33,831","31,068"
E01003253,35,33,30,-5,-4,-13.6%,-10.6%,"31,911","31,591"
E01003254,69,69,88,19,19,27.1%,27.6%,"38,895","38,569"
E01003255,69,68,92,23,24,34.1%,34.5%,"39,505","39,174"
E01003256,48,48,73,25,25,52.6%,53.2%,"40,413","40,223"
E01003257,68,68,92,24,24,34.4%,34.9%,"39,519","39,204"
E01003258,68,67,88,20,21,30.0%,32.1%,"39,152","38,985"
E01003259,63,63,82,19,19,29.3%,31.2%,"39,077","38,906"
E01003260,59,62,64,4,2,7.4%,3.0%,"36,701","35,128"
E01003261,48,48,46,-2,-2,-4.2%,-4.2%,"34,443","33,403"
E01003262,67,67,87,19,19,28.5%,28.9%,"39,025","38,718"
E01003263,62,66,83,21,18,33.2%,26.7%,"39,434","38,473"
E01003264,62,66,83,21,17,33.1%,26.6%,"39,429","38,466"
E01003265,62,66,83,21,17,32.9%,26.5%,"39,411","38,450"
E01003266,34,36,40,6,3,17.9%,9.4%,"38,046","36,245"
E01003267,34,36,40,6,3,18.0%,9.5%,"38,059","36,262"
E01003268,33,35,37,4,1,12.1%,3.7%,"37,364","35,260"
E01003269,41,41,42,2,2,3.8%,3.8%,"36,149","35,282"
E01003270,19,22,29,11,8,56.4%,35.7%,"40,556","39,266"
E01003271,23,29,37,14,8,60.4%,28.1%,"40,701","38,634"
E01003272,52,49,52,0,3,-0.6%,6.0%,"35,283","35,691"
E01003273,92,112,134,42,22,45.4%,19.7%,"40,117","37,724"
E01003274,110,109,139,29,30,26.4%,27.6%,"38,832","38,574"
E01003275,33,33,36,3,2,7.8%,6.7%,"36,761","35,794"
E01003276,62,63,66,3,3,5.4%,4.5%,"36,413","35,421"
E01003277,67,69,71,4,3,6.2%,3.8%,"36,541","35,278"
E01003278,183,191,264,80,72,43.9%,37.7%,"40,021","39,382"
E01003279,157,170,203,46,33,29.1%,19.3%,"39,064","37,689"
E01003280,41,41,42,2,2,4.4%,4.4%,"36,257","35,409"
E01003281,49,52,71,22,19,43.8%,36.6%,"40,019","39,318"
E01003282,62,64,112,50,48,81.0%,74.8%,"41,214","40,939"
E01003283,57,58,67,10,9,17.2%,15.0%,"37,952","37,096"
E01003284,53,55,57,4,2,8.5%,4.2%,"36,855","35,348"
E01003285,57,58,67,10,9,17.6%,15.3%,"38,008","37,143"
E01003286,57,58,65,7,6,12.9%,10.9%,"37,473","36,505"
E01003287,33,35,42,9,6,27.2%,18.0%,"38,908","37,524"
E01003288,204,215,302,98,87,47.8%,40.3%,"40,233","39,577"
E01003290,147,149,201,54,53,36.7%,35.5%,"39,676","39,247"
E01003291,123,125,161,39,36,31.5%,28.7%,"39,283","38,691"
E01003292,22,22,32,10,10,45.3%,47.5%,"40,111","39,966"
E01003293,88,87,116,28,30,32.1%,34.4%,"39,337","39,165"
E01003295,49,52,60,12,8,23.6%,16.2%,"38,591","37,285"
E01003296,224,230,297,73,67,32.5%,29.3%,"39,386","38,745"
E01003297,17,17,15,-2,-2,-10.1%,-10.1%,"32,924","31,746"
E01003298,29,29,32,2,2,7.7%,7.7%,"36,753","35,978"
E01003299,162,170,198,36,28,22.3%,16.4%,"38,477","37,325"
E01003300,132,138,171,38,33,29.0%,23.8%,"39,051","38,177"
E01003301,162,170,198,36,28,22.4%,16.4%,"38,483","37,319"
E01003302,69,66,83,14,17,19.7%,26.6%,"38,236","38,466"
E01003303,148,154,177,29,23,19.6%,15.2%,"38,228","37,119"
E01003304,151,159,190,39,31,26.0%,19.1%,"38,780","37,662"
E01003305,131,145,197,66,52,50.4%,35.9%,"40,331","39,276"
E01003307,49,48,71,21,22,43.5%,46.2%,"40,002","39,883"
E01003308,62,63,81,19,18,31.0%,28.9%,"39,243","38,718"
E01003309,46,45,70,24,25,52.2%,54.7%,"40,398","40,274"
E01003310,57,57,83,27,27,47.0%,47.2%,"40,197","39,941"
E01003311,43,42,78,35,35,82.6%,83.6%,"41,248","41,108"
E01003312,56,56,78,22,22,38.5%,40.0%,"39,752","39,558"
E01003313,30,30,45,15,15,50.8%,51.5%,"40,347","40,167"
E01003314,67,68,87,19,18,28.5%,26.6%,"39,020","38,463"
