lsoa11,Trips per hour (2006/08),Trips per hour (2010),Trips per hour (2023),Trips per hour change: 2006/08-2023,Trips per hour change: 2010-2023,Trips per hour % change: 2006/08-2023,Trips per hour % change: 2010-2023,Trips per hour change rank (2006/08-2023),Trips per hour change rank (2010-2023)
S01010354,90,80,28,-62,-52,-69.3%,-65.3%,"6,513","6,482"
S01010355,90,80,28,-62,-52,-69.2%,-65.2%,"6,545","6,504"
S01010356,99,87,30,-69,-56,-69.4%,-65.1%,"6,444","6,577"
S01010357,93,80,27,-66,-53,-70.8%,-66.0%,"5,796","6,137"
S01010358,92,78,25,-67,-53,-72.8%,-68.0%,"4,895","5,239"
S01010359,93,78,25,-68,-53,-72.9%,-67.9%,"4,807","5,284"
S01010360,90,75,24,-67,-51,-73.7%,-68.3%,"4,484","5,102"
S01010361,90,75,24,-67,-51,-73.7%,-68.3%,"4,484","5,102"
S01010362,92,78,25,-67,-53,-72.8%,-68.0%,"4,900","5,234"
S01010363,13,11,3,-10,-8,-77.0%,-73.5%,"3,077","2,995"
S01010364,94,85,18,-76,-67,-80.9%,-78.9%,"1,758","1,426"
S01010365,97,88,20,-77,-67,-79.4%,-77.1%,"2,267","1,858"
S01010366,95,79,24,-71,-55,-75.1%,-70.0%,"3,862","4,381"
S01010367,87,79,17,-71,-62,-80.9%,-79.0%,"1,740","1,398"
S01010368,84,78,15,-69,-62,-81.8%,-80.3%,"1,510","1,089"
S01010369,164,141,35,-129,-106,-78.5%,-75.0%,"2,570","2,485"
S01010370,165,145,34,-130,-111,-79.1%,-76.3%,"2,363","2,098"
S01010371,116,100,23,-93,-77,-80.0%,-76.9%,"2,053","1,917"
S01010372,167,145,35,-132,-110,-79.1%,-75.8%,"2,379","2,223"
S01010373,165,145,35,-130,-110,-78.7%,-75.8%,"2,487","2,219"
S01010374,176,170,37,-139,-133,-78.9%,-78.0%,"2,450","1,634"
S01010375,124,110,24,-100,-86,-80.5%,-78.1%,"1,868","1,626"
S01010376,118,100,29,-89,-71,-75.5%,-71.3%,"3,689","3,831"
