"pcon24","loftins_n","cavitywallins_n","solidwallins_n","cavity_and_loftins_n","cavitywallins_noloftins_n","loftins_nocavitywallins_n","number_of_epcs","loftins_pct","cavitywallins_pct","solidwallins_pct","cavity_and_loftins_pct","cavitywallins_noloftins_pct","loftins_nocavitywallins_pct"
"E14001080",5934,6542,15019,1603,4939,4331,43458,0.136545630263703,0.150536149845828,0.34559804869069,0.0368861889640573,0.113649960881771,0.0996594412996456
"E14001081",3837,3430,23492,363,3067,3474,57478,0.0667559761995894,0.0596750060892863,0.408712898848255,0.00631545982810815,0.0533595462611782,0.0604405163714813
"E14001082",7508,8146,6465,2569,5577,4939,36820,0.203910917979359,0.22123845736013,0.17558392178164,0.0697718631178707,0.15146659424226,0.134139054861488
"E14001083",5856,6926,19317,984,5942,4872,43345,0.135102087899412,0.159787749452071,0.445656938516553,0.0227015803437536,0.137086169108317,0.112400507555658
"E14001084",6195,4819,10539,1430,3389,4765,41596,0.148932589672084,0.115852485815944,0.253365708241177,0.0343783056063083,0.0814741802096355,0.114554284065776
"E14001085",1998,3186,10995,282,2904,1716,53574,0.0372942098779259,0.0594691454810169,0.20523014895285,0.00526374734012767,0.0542053981408892,0.0320304625377982
"E14001086",1556,5496,14197,337,5159,1219,52651,0.029553094907979,0.104385481757232,0.269643501547929,0.00640063816451729,0.0979848435927143,0.0231524567434617
"E14001087",5359,4405,6347,1180,3225,4179,33428,0.160314706234295,0.131775756850544,0.189870767021658,0.0352997487136532,0.0964760081368912,0.125014957520641
"E14001088",7811,8273,6151,2702,5571,5109,35890,0.21763722485372,0.230509891334634,0.171384786848704,0.0752855948732237,0.15522429646141,0.142351629980496
"E14001089",5646,5930,12044,1565,4365,4081,31394,0.179843282155826,0.18888959673823,0.383640186022807,0.0498502898643053,0.139039306873925,0.129992992291521
"E14001090",5644,4901,4077,1543,3358,4101,37455,0.150687491656655,0.130850353757843,0.108850620744894,0.0411961019890535,0.0896542517687892,0.109491389667601
"E14001091",6171,4107,18635,847,3260,5324,44055,0.140074906367041,0.093224378617637,0.422993984791738,0.0192259675405743,0.0739984110770628,0.120848938826467
"E14001092",6564,7512,13811,1680,5832,4884,43454,0.151056289409491,0.172872462834262,0.317830349334929,0.0386615731578221,0.134210889676439,0.112394716251668
"E14001093",7282,7021,18021,1644,5377,5638,43933,0.165752395693442,0.159811531195229,0.41019279357203,0.0374206177588601,0.122390913436369,0.128331777934582
"E14001094",6719,4688,21377,1050,3638,5669,36199,0.185612862233763,0.129506339954142,0.590541175170585,0.0290063261416061,0.100500013812536,0.156606536092157
"E14001095",6067,7147,9314,1843,5304,4224,38272,0.158523202341137,0.186742265886288,0.243363294314381,0.0481553093645485,0.138586956521739,0.110367892976589
"E14001096",5482,5669,14419,1050,4619,4432,79458,0.0689924236703667,0.0713458682574442,0.181466938508394,0.013214528430114,0.0581313398273302,0.0557778952402527
"E14001097",5641,7104,6785,1730,5374,3911,38434,0.146771088099079,0.18483634282146,0.176536400062445,0.0450122287557891,0.139824114065671,0.10175885934329
"E14001098",7172,5915,21379,1353,4562,5819,40300,0.177965260545906,0.146774193548387,0.530496277915633,0.0335732009925558,0.113200992555831,0.14439205955335
"E14001099",6219,5356,16003,1376,3980,4843,37084,0.167700355948657,0.144428864200194,0.431533815122425,0.0371049509222306,0.107323913277964,0.130595405026426
"E14001100",6302,4546,20656,1098,3448,5204,35274,0.178658502012814,0.128876793105403,0.585587117990588,0.0311277428134036,0.0977490502919998,0.14753075919941
"E14001101",5857,6192,12168,1420,4772,4437,42350,0.138299881936246,0.146210153482881,0.287319952774498,0.033530106257379,0.112680047225502,0.104769775678867
"E14001102",6084,10916,2881,2853,8063,3231,38816,0.156739488870569,0.281224237427865,0.0742219703215169,0.0735006183017312,0.207723619126134,0.0832388705688376
"E14001103",5523,9767,5471,2151,7616,3372,40839,0.135238375082642,0.239158647371385,0.133965082396729,0.0526702416807463,0.186488405690639,0.0825681334018952
"E14001104",7191,12406,1451,3445,8961,3746,38000,0.189236842105263,0.326473684210526,0.0381842105263158,0.0906578947368421,0.235815789473684,0.0985789473684211
"E14001105",9462,20439,3468,5057,15382,4405,51465,0.183853104051297,0.397143689886331,0.0673856018653454,0.0982609540464393,0.298882735839891,0.0855921500048577
"E14001106",4293,5394,6594,1158,4236,3135,33402,0.1285252380097,0.161487336087659,0.197413328543201,0.0346685827195976,0.126818753368062,0.0938566552901024
"E14001107",5076,6623,3695,1624,4999,3452,40471,0.125423142497097,0.163648044278619,0.0912999431691829,0.0401274987027748,0.123520545575844,0.0852956437943219
"E14001108",8373,11142,4632,3379,7763,4994,44336,0.188853302057019,0.251308191988452,0.104474918801877,0.0762134608444605,0.175094731143991,0.112639841212559
"E14001109",5189,4333,8215,1054,3279,4135,42314,0.122630807770478,0.102401096563785,0.194143782199745,0.0249090135652503,0.0774920829985348,0.0977217942052276
"E14001110",7216,9257,4145,2658,6599,4558,40586,0.177795298871532,0.228083575617208,0.102128812891145,0.0654905632484108,0.162593012368797,0.112304735623121
