"pcon24","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E14001073",180,12027,11957,17400,4053,374,106,46097,0.00390480942360674,0.260906349653991,0.259387812655921,0.377464910948652,0.0879232921882118,0.00811332624682734,0.00229949888279064,24164,0.524198971733518,21933,0.475801028266482
"E14001074",72,4822,13658,17816,4320,605,128,41421,0.00173824871442022,0.116414379179643,0.329736124188214,0.430119987445982,0.104294922865213,0.014606117669781,0.00309021993674706,18552,0.447888752082277,22869,0.552111247917723
"E14001075",193,4619,14113,18824,5180,705,148,43782,0.00440820428486593,0.105499977159563,0.322347083276232,0.429948380613037,0.118313462153396,0.0161025078799507,0.00338038463295418,18925,0.432255264720661,24857,0.567744735279339
"E14001076",132,2256,9599,17463,6066,2039,688,38243,0.00345161205972335,0.0589911879298172,0.251000183040033,0.456632586355673,0.158617263290014,0.0533169468922417,0.0179902204324974,11987,0.313442983029574,26256,0.686557016970426
"E14001077",73,3927,13967,13770,3265,451,63,35516,0.00205541164545557,0.110569883995945,0.393259376055862,0.387712580245523,0.0919303975672936,0.012698502083568,0.00177384840635207,17967,0.505884671697263,17549,0.494115328302737
"E14001078",96,6220,19318,13198,2374,285,76,41567,0.00230952438232252,0.14963793393798,0.464743666851108,0.317511487478047,0.0571126133711839,0.00685640051001997,0.00182837346933866,25634,0.61669112517141,15933,0.38330887482859
"E14001079",107,6496,13935,16749,5389,1214,277,44167,0.00242262322548509,0.147078135259357,0.31550705277696,0.379219779473362,0.122014173477936,0.0274865850069056,0.00627165077999411,20538,0.465007811261802,23629,0.534992188738198
"E14001080",128,4522,13839,16885,6692,1140,247,43453,0.00294571145835731,0.104066462614779,0.318482038064115,0.388580765424712,0.154005477182243,0.0262352426759948,0.00568430257979886,18489,0.425494212137252,24964,0.574505787862748
"E14001081",35,14990,20111,16751,4876,546,165,57474,0.000608971012979782,0.260813585273341,0.349914744058183,0.291453526812124,0.0848383616939834,0.0094999478024846,0.00287086334690469,35136,0.611337300344504,22338,0.388662699655496
"E14001082",76,3786,12508,14151,5032,1039,218,36810,0.00206465634338495,0.102852485737571,0.339798967671828,0.384433577832111,0.136701983156751,0.028226025536539,0.00592230372181472,16370,0.444716109752785,20440,0.555283890247215
"E14001083",71,3939,15416,16531,6215,951,221,43344,0.00163805832410484,0.0908776301218162,0.355666297526763,0.381390734588409,0.143387781469177,0.0219407530454042,0.00509874492432632,19426,0.448181985972684,23918,0.551818014027316
"E14001084",35,3754,16847,15073,5090,681,112,41592,0.000841507982304289,0.0902577418734372,0.405053856510867,0.362401423350644,0.122379303712252,0.0163733410271206,0.00269282554337373,20636,0.496153106366609,20956,0.503846893633391
"E14001085",48,14470,24426,11568,2650,330,82,53574,0.000895956994064285,0.270093702168963,0.455930115354463,0.215925635569493,0.0494642923806324,0.00615970433419196,0.00153059319819315,38944,0.72691977451749,14630,0.27308022548251
"E14001086",21,12342,23704,12888,3219,340,136,52650,0.000398860398860399,0.234415954415954,0.450218423551757,0.244786324786325,0.0611396011396011,0.00645773979107312,0.00258309591642925,36067,0.685033238366572,16583,0.314966761633428
"E14001087",190,3731,9732,13691,4487,1213,383,33427,0.00568402788165256,0.111616358033925,0.291141891285488,0.409579082777396,0.134232805815658,0.0362880306339187,0.0114578035719628,13653,0.408442277201065,19774,0.591557722798935
"E14001088",98,3396,9803,14493,6097,1555,448,35890,0.00273056561716356,0.0946224575090554,0.273140150459738,0.403817219281137,0.169880189467818,0.0433268319866258,0.012482585678462,13297,0.370493173585957,22593,0.629506826414043
"E14001089",203,2858,8707,14078,4764,623,161,31394,0.00646620373319743,0.0910365037905332,0.277345989679557,0.448429636236224,0.151748741797796,0.0198445562846404,0.00512836847805313,11768,0.374848697203287,19626,0.625151302796713
"E14001090",575,8235,12010,11644,3872,899,220,37455,0.0153517554398612,0.219863836603925,0.320651448404752,0.310879722333467,0.103377386196769,0.024002135896409,0.00587371512481645,20820,0.555867040448538,16635,0.444132959551462
"E14001091",87,3037,15028,18053,6444,1042,364,44055,0.00197480422199523,0.068936556577006,0.341119055725797,0.409783225513563,0.146271705822268,0.023652252865736,0.00826239927363523,18152,0.412030416524799,25903,0.587969583475202
"E14001092",57,3889,13229,17399,7318,1265,297,43454,0.00131173194642611,0.089496939292125,0.304436875776683,0.400400423436277,0.16840797164818,0.0291112440741934,0.00683481382611497,17175,0.395245547015235,26279,0.604754452984765
"E14001093",56,2617,11863,19804,7756,1355,482,43933,0.00127466824482735,0.0595679785127353,0.270024810506908,0.450777320010015,0.176541551908588,0.0308424191382332,0.0109712516786926,14536,0.330867457264471,29397,0.669132542735529
