"msoa21","A_n","B_n","C_n","D_n","E_n","F_n","G_n","number_of_epcs","A_pct","B_pct","C_pct","D_pct","E_pct","F_pct","G_pct","ABC_n","ABC_pct","DEFG_n","DEFG_pct"
"E02000031",144,863,918,1120,444,82,7,3578,0.0402459474566797,0.241196198993851,0.256567915036333,0.313024035774176,0.124091671324762,0.0229178311906093,0.0019564002235886,1925,0.538010061486864,1653,0.461989938513136
"E02000032",2,33,257,857,411,81,7,1648,0.00121359223300971,0.0200242718446602,0.155946601941748,0.52002427184466,0.249393203883495,0.0491504854368932,0.00424757281553398,292,0.177184466019417,1356,0.822815533980582
"E02000033",0,198,905,1273,421,53,10,2860,0,0.0692307692307692,0.316433566433566,0.445104895104895,0.147202797202797,0.0185314685314685,0.0034965034965035,1103,0.385664335664336,1757,0.614335664335664
"E02000034",1,239,1055,1432,508,91,18,3344,0.000299043062200957,0.0714712918660287,0.31549043062201,0.42822966507177,0.151913875598086,0.0272129186602871,0.00538277511961723,1295,0.387260765550239,2049,0.612739234449761
"E02000035",2,545,1710,1273,417,75,17,4039,0.000495172072295123,0.134934389700421,0.42337212181233,0.315177024015846,0.103243377073533,0.0185689527110671,0.00420896261450854,2257,0.558801683585046,1782,0.441198316414954
"E02000036",1,152,1116,1621,426,62,11,3389,0.000295072292711714,0.0448509884921806,0.329300678666273,0.478312186485689,0.12570079669519,0.0182944821481263,0.00324579521982886,1269,0.374446739451166,2120,0.625553260548835
"E02000037",42,1068,879,923,373,60,6,3351,0.0125335720680394,0.318710832587287,0.26230975828111,0.275440167114294,0.111310056699493,0.017905102954342,0.0017905102954342,1989,0.593554162936437,1362,0.406445837063563
"E02000038",2,205,1389,1439,564,79,19,3697,0.000540979172301866,0.0554503651609413,0.375710035163646,0.389234514471193,0.152556126589126,0.0213686773059237,0.00513930213686773,1596,0.431701379496889,2101,0.568298620503111
"E02000039",8,260,802,969,360,73,19,2491,0.00321156162183862,0.104375752709755,0.321959052589322,0.389000401445203,0.144520272982738,0.0293054997992774,0.00762745885186672,1070,0.429546366920915,1421,0.570453633079085
"E02000040",38,2723,741,964,284,41,2,4793,0.00792822866680576,0.568120175255581,0.154600459002712,0.201126643021072,0.0592530774045483,0.00855414145629042,0.000417275192989777,3502,0.730648862925099,1291,0.269351137074901
"E02000041",0,237,939,1487,488,66,15,3232,0,0.0733292079207921,0.290532178217822,0.460086633663366,0.150990099009901,0.0204207920792079,0.00464108910891089,1176,0.363861386138614,2056,0.636138613861386
"E02000042",8,288,2078,1803,574,60,15,4826,0.00165768752590137,0.0596767509324492,0.43058433485288,0.373601326150021,0.118939079983423,0.0124326564442603,0.00310816411106506,2374,0.491918773311231,2452,0.508081226688769
"E02000043",1,64,429,1139,466,58,12,2169,0.000461041954817888,0.0295066851083449,0.197786998616874,0.525126786537575,0.214845550945136,0.0267404333794375,0.00553250345781466,494,0.227754725680037,1675,0.772245274319963
"E02000044",1,168,1041,1443,347,44,4,3048,0.000328083989501312,0.0551181102362205,0.341535433070866,0.473425196850394,0.113845144356955,0.0144356955380577,0.00131233595800525,1210,0.396981627296588,1838,0.603018372703412
"E02000045",3,139,1858,1697,485,46,10,4238,0.000707881075979236,0.0327984898537046,0.438414346389807,0.400424728645588,0.114440773949976,0.0108541764983483,0.00235960358659745,2000,0.47192071731949,2238,0.52807928268051
"E02000046",0,172,1065,1339,425,57,11,3069,0,0.0560443141088302,0.347018572825024,0.436298468556533,0.138481590094493,0.0185728250244379,0.003584229390681,1237,0.403062886933855,1832,0.596937113066145
"E02000047",0,622,1678,1892,321,27,11,4551,0,0.136673258624478,0.368710173588222,0.415732805976708,0.0705339485827291,0.00593276203032301,0.002417051197539,2300,0.505383432212701,2251,0.494616567787299
"E02000048",0,462,1333,1261,462,77,10,3605,0,0.128155339805825,0.369764216366158,0.349791955617198,0.128155339805825,0.0213592233009709,0.00277392510402219,1795,0.497919556171983,1810,0.502080443828017
"E02000049",71,1265,1147,1160,306,42,12,4003,0.0177366974768923,0.316012990257307,0.286535098675993,0.289782663002748,0.0764426679990007,0.0104921309018236,0.00299775168623532,2483,0.620284786410192,1520,0.379715213589808
"E02000050",12,489,1402,1444,511,77,7,3942,0.0030441400304414,0.124048706240487,0.355657026889904,0.366311516996448,0.12962962962963,0.019533231861999,0.00177574835109082,1903,0.482749873160832,2039,0.517250126839168
"E02000051",1,543,1469,1405,505,85,20,4028,0.000248262164846077,0.13480635551142,0.364697120158888,0.348808341608739,0.125372393247269,0.0211022840119166,0.00496524329692155,2013,0.499751737835154,2015,0.500248262164846
"E02000052",0,251,1666,1865,630,78,19,4509,0,0.0556664448880018,0.369483255710801,0.413617210024396,0.139720558882236,0.0172987358616101,0.00421379463295631,1917,0.425149700598802,2592,0.574850299401198
"E02000054",0,184,1310,1052,384,62,8,3000,0,0.0613333333333333,0.436666666666667,0.350666666666667,0.128,0.0206666666666667,0.00266666666666667,1494,0.498,1506,0.502
"E02000055",2,605,2106,1836,655,84,17,5305,0.000377002827521206,0.114043355325165,0.39698397737983,0.346088595664467,0.123468426013195,0.0158341187558907,0.00320452403393025,2713,0.511404335532516,2592,0.488595664467483
"E02000056",2,126,705,1258,683,135,17,2926,0.000683526999316473,0.0430622009569378,0.240943267259057,0.429938482570062,0.233424470266576,0.0461380724538619,0.00580997949419002,833,0.284688995215311,2093,0.715311004784689
