"msoa21","msoa21_name","heat_risk","social_risk","heat_enhanced_risk","lst_maxday_mean","lst_daynight_mean","lst_daynight_decile","airtemp_maxday_mean","airtemp_daynight_mean","airtemp_daynight_decile","under5","under5_pct","over75","over75_pct","people_of_colour","people_of_colour_pct","disabled_persons","disabled_persons_pct","life_expectancy_average","life_expectancy_decile","care_or_nursing_home_n","hospital_n","nurseries_n"
"E02002549","Fairfield","lower heat risk","Lowest heat risk","Lower heat risk",36.03,23.17,10,37.74,26.65,9,271,0.0360948321790091,1116,0.148641449120938,259,0.035,1394,0.187,83.3,8,2,0,1
"E02002550","Hartburn","lower heat risk","Medium heat risk","Lower heat risk",36.01,24.37,9,38,26.91,9,334,0.0534999199102995,588,0.0941854877462758,708,0.117,1152,0.191,80.7,4,4,0,2
"E02002551","Thornaby North","lower heat risk","Highest heat risk","Lower heat risk",35.91,24.64,8,38.34,27.44,8,357,0.0642086330935252,276,0.0496402877697842,1106,0.206,1399,0.261,74.7,1,4,0,3
"E02002552","Thornaby Mandale","lower heat risk","Medium heat risk","Lower heat risk",36.15,25.22,8,38.3,27.34,8,423,0.0591277606933184,322,0.0450097847358121,450,0.063,1431,0.2,80,3,0,0,1
"E02002553","Thornaby Village","lower heat risk","Medium heat risk","Lower heat risk",36.56,24.67,8,38.26,27.25,8,271,0.0461512261580381,546,0.092983651226158,484,0.083,1239,0.214,78.5,2,2,0,2
"E02002554","Thornaby South","lower heat risk","Highest heat risk","Lower heat risk",36.06,24.29,9,38.23,27.2,8,258,0.0503218256290228,476,0.0928418178271894,220,0.044,1321,0.262,75.6,1,2,0,4
"E02002555","Eaglescliffe","lower heat risk","Lowest heat risk","Lower heat risk",34.44,22.9,10,38.02,26.86,9,432,0.0415864458991144,1087,0.104639969195225,573,0.056,1722,0.167,82.5,7,2,0,3
"E02002556","Ingleby Barwick East & Hilton","lower heat risk","Lowest heat risk","Lower heat risk",35.3,23.06,10,38.18,27.23,8,311,0.0431046431046431,417,0.0577962577962578,742,0.102,1028,0.141,86.2,10,0,0,0
"E02002558","Yarm","lower heat risk","Lowest heat risk","Lower heat risk",35.01,22.74,10,38.13,27.05,8,508,0.0451716165747821,1158,0.102969944869287,827,0.075,1740,0.158,83.8,9,2,0,4
"E02007060","Central Stockton & Portrack","lower heat risk","Highest heat risk","Lower heat risk",36.33,24.61,8,38.26,27.33,8,517,0.0797224363916731,269,0.0414803392444102,1412,0.231,1652,0.271,72.2,1,3,0,0
"E02007061","Parkfield","lower heat risk","Highest heat risk","Lower heat risk",35.49,24.05,9,38.14,27.08,8,664,0.0770927667479392,120,0.0139324277255312,2671,0.319,1456,0.174,72.2,1,2,0,4
"E02007062","Ingleby Barwick North","lower heat risk","Lowest heat risk","Lower heat risk",34.23,23.48,10,38.13,27.07,8,546,0.0686015831134565,213,0.026762156049755,783,0.102,826,0.108,81.9,6,2,0,2
"E02007063","Ingleby Barwick West & South","lower heat risk","Lowest heat risk","Lower heat risk",34.93,23.48,10,38.09,26.99,9,432,0.0468800868149756,193,0.0209441128594683,963,0.105,933,0.102,81.9,6,0,0,1
"E02002951","Great Chell & Packmoor","highest heat risk","Medium heat risk","High heat, not enhanced risk",35.15,24.33,9,36.27,28.79,4,429,0.05441400304414,710,0.0900558092338914,345,0.044,1691,0.216,79.2,3,3,0,2
"E02002952","Goldenhill & Sandyford","highest heat risk","Highest heat risk","High heat and enhanced risk",36.68,25.18,8,36.33,28.85,3,491,0.0641997907949791,588,0.0768828451882845,921,0.122,1526,0.202,75.4,1,4,1,0
